game_id,season,week,site,kickoff_local,temp,wind,gust,precip
2013_03_NYG_CAR,2013,3,CAR,2013-09-22 13:00:00,72.2,7.5,20.6,0.0
2013_07_STL_CAR,2013,7,CAR,2013-10-20 13:00:00,61.3,4.0,15.9,0.0
2013_09_ATL_CAR,2013,9,CAR,2013-11-03 13:00:00,58.6,8.8,21.0,0.0
2013_11_NE_CAR,2013,11,CAR,2013-11-18 20:00:00,60.0,8.6,17.7,0.0
2013_13_TB_CAR,2013,13,CAR,2013-12-01 13:00:00,50.8,2.9,11.0,0.0
2013_15_NYJ_CAR,2013,15,CAR,2013-12-15 16:00:00,49.8,9.4,21.7,0.0
2013_16_NO_CAR,2013,16,CAR,2013-12-22 13:00:00,69.0,14.0,30.2,0.004
2013_19_SF_CAR,2013,19,CAR,2014-01-12 13:00:00,50.4,9.0,20.4,0.0
2014_02_DET_CAR,2014,2,CAR,2014-09-14 13:00:00,67.9,5.8,16.3,0.0
2014_03_PIT_CAR,2014,3,CAR,2014-09-21 20:00:00,76.4,7.7,13.6,0.0
2014_05_CHI_CAR,2014,5,CAR,2014-10-05 13:00:00,62.0,6.6,15.9,0.0
2014_08_SEA_CAR,2014,8,CAR,2014-10-26 13:00:00,75.7,9.1,21.0,0.0
2014_09_NO_CAR,2014,9,CAR,2014-10-30 20:00:00,58.8,3.5,7.6,0.0
2014_11_ATL_CAR,2014,11,CAR,2014-11-16 13:00:00,47.5,1.9,8.7,0.0
